Genus_&_Specie,Time,Location,Zone,Current_Country,Habitat,Cranial_Capacity,Height,Incisor_Size,Jaw_Shape,Torus_Supraorbital,Prognathism,Foramen_Mágnum_Position,Canine Size,Canines_Shape,Tooth_Enamel,Tecno,Tecno_type,biped,Arms,Foots,Diet,Sexual_Dimorphism,Hip,Vertical_Front,Anatomy,Migrated,Skeleton
Homo Sapiens,300-3,Africa,oriental,Kenya,all,1275.95,163.95,very small,very modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
Paranthropus Boisei,2.3-1.2 ,Africa,oriental,Ethiopia,forest,437.4,113.77,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Paranthropus Robustus,1.9-1 ,Africa,south,South Africa,jungle,449.15,125.23,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
hominino Orrorin tugenencin,6,Africa,oriental,Kenya,forest,90.34,116.33,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Australopithecus Sediba,1.9,Africa,south,South Africa,mixed,400.89,104.07,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
Homo Antecesor,1ma-800,Europa,west,Spain,savannah,969.86,171.96,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light
Homo Naledi,300-225,Africa,south,South Africa,jungle,345.7,148.77,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
hominino Orrorin tugenencin,6,Africa,oriental,Kenya,forest,104.81,118.28,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Australopithecus Africanus,3.5-2.4 ,Africa,south,South Africa,forest-gallery,491.03,100.18,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light
hominino Sahelanthropus tchadensis,7,Africa,central,Republic of Chad,mixed,88.32,81.05,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Homo Rodhesiensis,600-125,Africa,oriental,Ethiopia,savannah,1074.48,152.1,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust
Australopithecus Bahrelghazali,3.5- 3 ,Africa,central,Republic of Chad,mixed,286.64,110.49,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light
Homo Naledi,300-225,Africa,south,South Africa,jungle,323.87,152.91,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Homo Erectus,1.3-1.1 ,Asia ,easter-Asia,Indonesia,savannah,1059.3,169.09,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Australopithecus Bahrelghazali,3.5- 3 ,Africa,central,Republic of Chad,mixed,299.83,108.36,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light
hominino Orrorin tugenencin,6,Africa,oriental,Kenya,forest,112.5,110.45,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Australopithecus Afarensis,3.9 - 2.9 ,Africa,oriental,Kenya,mixed,346.26,129.72,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined
Australopithecus Bahrelghazali,3.5- 3 ,Africa,central,Republic of Chad,mixed,341.28,124.12,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light
Homo Ergaster,1.8-1.4 ,Africa,oriental,Kenya,savannah,893.0,168.23,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Heidelbergensis,500-250,Europa,central-europe,Germany,cold forest,1355.73,169.97,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Homo Rudolfensis,2.8-1.9 ,Africa,oriental,Kenya,savannah,758.58,123.68,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined
"Homo Neanderthalensis
",230-40,Europa,central-europe,Germany,cold forest,1115.49,164.67,big,very modern,little protruding,very reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Australopithecus Anamensis,4.2- 3.9 ,Africa,oriental,Kenya,forest-gallery,408.63,116.99,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
Homo Rodhesiensis,600-125,Africa,oriental,Ethiopia,savannah,1168.96,145.35,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust
"Homo Neanderthalensis
",230-40,Europa,central-europe,Germany,cold forest,1054.12,161.79,big,very modern,little protruding,very reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Paranthropus Robustus,1.9-1 ,Africa,south,South Africa,jungle,559.99,111.91,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Rudolfensis,2.8-1.9 ,Africa,oriental,Kenya,savannah,625.91,133.72,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined
Australopithecus Sediba,1.9,Africa,south,South Africa,mixed,454.62,107.27,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
Australopithecus Sediba,1.9,Africa,south,South Africa,mixed,373.8,120.98,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
Paranthropus Aethiopicus,2.6,Africa,oriental,Kenya,forest-savanna,489.76,110.05,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
"Homo Neanderthalensis
",230-40,Europa,central-europe,Germany,cold forest,1057.98,166.23,big,very modern,little protruding,very reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Homo Floresiensis,100-50,Asia ,easter-Asia,Indonesia,peninsular,291.48,99.33,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Homo Ergaster,1.8-1.4 ,Africa,oriental,Kenya,savannah,836.09,164.1,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Rodhesiensis,600-125,Africa,oriental,Ethiopia,savannah,1131.4,152.89,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust
Homo Sapiens,300-3,Africa,oriental,Kenya,all,1188.0,176.59,very small,very modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
Homo Floresiensis,100-50,Asia ,easter-Asia,Indonesia,peninsular,232.8,100.14,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Australopithecus Anamensis,4.2- 3.9 ,Africa,oriental,Kenya,forest-gallery,364.19,127.12,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
Homo Sapiens,300-3,Africa,oriental,Kenya,all,1188.31,177.29,very small,very modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
"Homo Neanderthalensis
",230-40,Europa,central-europe,Germany,cold forest,1136.87,167.84,big,very modern,little protruding,very reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Homo Rodhesiensis,600-125,Africa,oriental,Ethiopia,savannah,1167.98,146.88,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust
Paranthropus Robustus,1.9-1 ,Africa,south,South Africa,jungle,569.93,128.58,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
"Homo Neanderthalensis
",230-40,Europa,central-europe,Germany,cold forest,1103.4,162.95,big,very modern,little protruding,very reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
hominino Ardipithecus ramidus / kabadda,4,Africa,oriental,Ethiopia,mixed,282.4,115.12,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
Homo Habilis,2.5-1.6 ,Africa,oriental,Ethiopia,savannah,804.93,126.49,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust
hominino Sahelanthropus tchadensis,7,Africa,central,Republic of Chad,mixed,196.21,87.91,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Homo Ergaster,1.8-1.4 ,Africa,oriental,Kenya,savannah,810.52,167.17,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Erectus,1.3-1.1 ,Asia ,easter-Asia,Indonesia,savannah,1061.52,158.48,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Paranthropus Robustus,1.9-1 ,Africa,south,South Africa,jungle,553.73,124.35,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Australopithecus Afarensis,3.9 - 2.9 ,Africa,oriental,Kenya,mixed,362.24,131.7,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined
hominino Ardipithecus ramidus / kabadda,4,Africa,oriental,Ethiopia,mixed,319.82,106.49,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
Homo Sapiens,300-3,Africa,oriental,Kenya,all,1183.78,167.63,very small,very modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
Homo Antecesor,1ma-800,Europa,west,Spain,savannah,1043.43,167.46,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light
"Homo Neanderthalensis
",230-40,Europa,central-europe,Germany,cold forest,1135.12,167.63,big,very modern,little protruding,very reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Paranthropus Boisei,2.3-1.2 ,Africa,oriental,Ethiopia,forest,471.25,112.36,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Australopithecus Garhi,2.5,Africa,oriental,Ethiopia,mixed,429.89,117.88,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light
Paranthropus Boisei,2.3-1.2 ,Africa,oriental,Ethiopia,forest,548.52,104.81,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Georgicus,1.8,Asia ,euroAsia,Georgia,savannah,688.79,152.45,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Floresiensis,100-50,Asia ,easter-Asia,Indonesia,peninsular,234.02,102.17,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Homo Habilis,2.5-1.6 ,Africa,oriental,Ethiopia,savannah,783.91,121.11,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust
Australopithecus Bahrelghazali,3.5- 3 ,Africa,central,Republic of Chad,mixed,326.65,110.46,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light
Paranthropus Boisei,2.3-1.2 ,Africa,oriental,Ethiopia,forest,538.14,102.29,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Australopithecus Anamensis,4.2- 3.9 ,Africa,oriental,Kenya,forest-gallery,365.9,127.9,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
Australopithecus Garhi,2.5,Africa,oriental,Ethiopia,mixed,444.02,131.0,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light
Homo Naledi,300-225,Africa,south,South Africa,jungle,322.57,145.1,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Homo Rudolfensis,2.8-1.9 ,Africa,oriental,Kenya,savannah,684.2,131.51,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined
Homo Habilis,2.5-1.6 ,Africa,oriental,Ethiopia,savannah,817.33,138.72,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust
Paranthropus Aethiopicus,2.6,Africa,oriental,Kenya,forest-savanna,413.99,119.03,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Australopithecus Afarensis,3.9 - 2.9 ,Africa,oriental,Kenya,mixed,399.72,136.51,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined
Australopithecus Garhi,2.5,Africa,oriental,Ethiopia,mixed,404.19,119.65,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light
Australopithecus Afarensis,3.9 - 2.9 ,Africa,oriental,Kenya,mixed,301.84,120.42,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined
hominino Ardipithecus ramidus / kabadda,4,Africa,oriental,Ethiopia,mixed,252.78,109.93,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
Homo Habilis,2.5-1.6 ,Africa,oriental,Ethiopia,savannah,762.26,120.33,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust
Homo Ergaster,1.8-1.4 ,Africa,oriental,Kenya,savannah,914.91,167.3,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Ergaster,1.8-1.4 ,Africa,oriental,Kenya,savannah,822.13,154.34,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Australopithecus Afarensis,3.9 - 2.9 ,Africa,oriental,Kenya,mixed,295.59,121.21,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined
Homo Georgicus,1.8,Asia ,euroAsia,Georgia,savannah,659.48,149.53,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Antecesor,1ma-800,Europa,west,Spain,savannah,1000.59,171.51,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light
Paranthropus Boisei,2.3-1.2 ,Africa,oriental,Ethiopia,forest,509.6,111.79,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Australopithecus Garhi,2.5,Africa,oriental,Ethiopia,mixed,382.59,119.74,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light
"Homo Neanderthalensis
",230-40,Europa,central-europe,Germany,cold forest,1128.21,151.89,big,very modern,little protruding,very reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Homo Erectus,1.3-1.1 ,Asia ,easter-Asia,Indonesia,savannah,1024.58,150.89,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Naledi,300-225,Africa,south,South Africa,jungle,300.85,137.4,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Homo Rodhesiensis,600-125,Africa,oriental,Ethiopia,savannah,1129.77,147.46,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust
Australopithecus Sediba,1.9,Africa,south,South Africa,mixed,462.83,106.7,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
hominino Orrorin tugenencin,6,Africa,oriental,Kenya,forest,152.99,115.59,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
hominino Sahelanthropus tchadensis,7,Africa,central,Republic of Chad,mixed,205.33,84.28,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Paranthropus Aethiopicus,2.6,Africa,oriental,Kenya,forest-savanna,494.66,112.81,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Erectus,1.3-1.1 ,Asia ,easter-Asia,Indonesia,savannah,1118.16,165.54,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Paranthropus Aethiopicus,2.6,Africa,oriental,Kenya,forest-savanna,451.62,124.7,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Australopithecus Afarensis,3.9 - 2.9 ,Africa,oriental,Kenya,mixed,414.0,131.5,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined
Homo Rudolfensis,2.8-1.9 ,Africa,oriental,Kenya,savannah,755.36,136.3,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined
Australopithecus Anamensis,4.2- 3.9 ,Africa,oriental,Kenya,forest-gallery,333.48,119.04,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
Australopithecus Bahrelghazali,3.5- 3 ,Africa,central,Republic of Chad,mixed,270.36,126.89,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light
Australopithecus Africanus,3.5-2.4 ,Africa,south,South Africa,forest-gallery,505.58,103.36,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light
Homo Habilis,2.5-1.6 ,Africa,oriental,Ethiopia,savannah,711.08,129.33,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust
Homo Ergaster,1.8-1.4 ,Africa,oriental,Kenya,savannah,886.2,165.78,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Paranthropus Boisei,2.3-1.2 ,Africa,oriental,Ethiopia,forest,478.73,111.98,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
hominino Ardipithecus ramidus / kabadda,4,Africa,oriental,Ethiopia,mixed,341.99,119.53,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
Homo Erectus,1.3-1.1 ,Asia ,easter-Asia,Indonesia,savannah,1037.65,153.98,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Ergaster,1.8-1.4 ,Africa,oriental,Kenya,savannah,844.56,168.1,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Rudolfensis,2.8-1.9 ,Africa,oriental,Kenya,savannah,670.02,120.23,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined
hominino Ardipithecus ramidus / kabadda,4,Africa,oriental,Ethiopia,mixed,283.0,107.18,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
Homo Floresiensis,100-50,Asia ,easter-Asia,Indonesia,peninsular,251.29,108.19,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Australopithecus Anamensis,4.2- 3.9 ,Africa,oriental,Kenya,forest-gallery,347.37,119.85,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
Australopithecus Bahrelghazali,3.5- 3 ,Africa,central,Republic of Chad,mixed,240.71,109.59,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light
Homo Heidelbergensis,500-250,Europa,central-europe,Germany,cold forest,1330.09,184.05,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Homo Naledi,300-225,Africa,south,South Africa,jungle,316.07,143.44,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Homo Georgicus,1.8,Asia ,euroAsia,Georgia,savannah,701.47,150.48,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Australopithecus Africanus,3.5-2.4 ,Africa,south,South Africa,forest-gallery,508.94,107.67,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light
Homo Ergaster,1.8-1.4 ,Africa,oriental,Kenya,savannah,914.63,153.84,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Georgicus,1.8,Asia ,euroAsia,Georgia,savannah,685.61,147.85,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Floresiensis,100-50,Asia ,easter-Asia,Indonesia,peninsular,258.21,101.92,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Homo Rodhesiensis,600-125,Africa,oriental,Ethiopia,savannah,1135.64,140.4,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust
Homo Sapiens,300-3,Africa,oriental,Kenya,all,1207.88,162.81,very small,very modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
Homo Heidelbergensis,500-250,Europa,central-europe,Germany,cold forest,1266.48,177.77,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
hominino Ardipithecus ramidus / kabadda,4,Africa,oriental,Ethiopia,mixed,246.84,107.22,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
Homo Georgicus,1.8,Asia ,euroAsia,Georgia,savannah,700.95,153.36,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Paranthropus Aethiopicus,2.6,Africa,oriental,Kenya,forest-savanna,488.64,110.78,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Australopithecus Afarensis,3.9 - 2.9 ,Africa,oriental,Kenya,mixed,331.1,134.87,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined
Australopithecus Sediba,1.9,Africa,south,South Africa,mixed,434.53,109.98,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
